Date,Average Difficulty,Active Addresses Count,Average Transaction Fees,Transactions Count,Block Count,Block Size (bytes)
1/28/2018,2.50039E+15,448123,1.213081553,889104,6017,145593619
1/29/2018,2.59138E+15,479352,1.58154929,936845,5925,149592868
1/30/2018,2.59625E+15,466227,1.232949162,906578,5867,147989847
1/31/2018,2.62676E+15,461713,1.335377988,877284,5883,146496997
2/1/2018,2.66612E+15,501671,1.566760744,1008759,5778,152120496
2/2/2018,2.71147E+15,499746,1.118725397,981133,5865,153579773
2/3/2018,2.76567E+15,433090,1.046888731,814486,5973,134941690
2/4/2018,2.75942E+15,425727,0.882529538,800876,5960,135541047
2/5/2018,2.78625E+15,457677,0.690744877,875761,6025,145656149
2/6/2018,2.78708E+15,452196,0.822313874,888219,5926,147759517
2/7/2018,2.83722E+15,418269,0.784000771,818625,5913,135830781
2/8/2018,2.82172E+15,353159,0.776892669,681344,6002,120599479
2/9/2018,2.87724E+15,399711,0.776552603,789807,5936,131158289
2/10/2018,2.83446E+15,420048,0.764083881,848390,6022,133213686
2/11/2018,2.95075E+15,382341,0.680685006,773496,5955,124946154
2/12/2018,2.94373E+15,421764,0.672707734,829020,5945,131845880
2/13/2018,2.97156E+15,365156,0.711285292,745822,5965,121877447
2/14/2018,2.95282E+15,387178,0.791780002,746384,5860,128030588
2/15/2018,2.8923E+15,400782,0.759138844,777318,5966,130086778
2/16/2018,2.99122E+15,346010,0.801821102,704758,5958,123393167
2/17/2018,2.97372E+15,349625,0.85736941,772079,6036,132134027
2/18/2018,3.00382E+15,343310,0.927480938,756092,5984,124078625
2/19/2018,2.97696E+15,392016,0.758446405,811384,5898,128643390
2/20/2018,2.93288E+15,392070,0.744287481,886897,5814,141939245
2/21/2018,2.91144E+15,363398,0.732734292,850504,5849,136325370
2/22/2018,2.9812E+15,343322,0.651175848,761893,5873,127720441
2/23/2018,2.96771E+15,329223,0.731242687,733084,5926,123216687
2/24/2018,2.97492E+15,293520,0.713293383,732861,5850,124399611
2/25/2018,3.09645E+15,294581,0.669566323,690582,5858,120477839
2/26/2018,3.03053E+15,368611,0.641439346,737453,5803,125645100
2/27/2018,2.97877E+15,355055,0.711039046,694583,5865,122951421
2/28/2018,3.05257E+15,373014,0.885265573,720368,5898,127356866
3/1/2018,3.10306E+15,342494,0.725590572,684404,5879,121478329
3/2/2018,3.07724E+15,355811,0.843572042,744666,5899,133019741
3/3/2018,3.19082E+15,309915,0.645689708,673465,5949,125958010
3/4/2018,3.14016E+15,287392,0.741555775,643241,5881,122289113
3/5/2018,3.13523E+15,358287,0.717221265,752756,5885,132798933
3/6/2018,3.11841E+15,364952,0.588341624,712591,5890,127357623
3/7/2018,3.19425E+15,467576,0.585210515,783757,5915,135006810
3/8/2018,3.23786E+15,347207,0.547839332,690139,5856,125776936
3/9/2018,3.15588E+15,335308,0.558753675,650058,5898,120165929
3/10/2018,3.16673E+15,318074,0.460326947,591377,5893,111152453
3/11/2018,3.14889E+15,288838,0.426390998,608899,5957,110873441
3/12/2018,3.19098E+15,322689,0.527684066,677908,5823,126169908
3/13/2018,3.17669E+15,333398,0.386581449,699093,5865,122847532
3/14/2018,3.1357E+15,359709,0.384614501,671198,5843,117479788
3/15/2018,3.16092E+15,339262,0.367500905,654531,5881,117949215
3/16/2018,3.27341E+15,313390,0.388228896,654584,5918,115412206
3/17/2018,3.26156E+15,279550,0.289981839,593203,5856,101753320
3/18/2018,3.26557E+15,318550,0.286236823,684094,5933,119830040
3/19/2018,3.28724E+15,356019,0.294693004,703891,5961,123046506
3/20/2018,3.28144E+15,329322,0.318978101,661791,5959,119579957
3/21/2018,3.26128E+15,352609,0.3536103,697872,5934,122419875
3/22/2018,3.22545E+15,345780,0.371081325,619453,6014,107546487
3/23/2018,3.28435E+15,401205,0.357358432,677103,5968,112479525
3/24/2018,3.21875E+15,354616,0.326142617,613203,6058,100557291
3/25/2018,3.26457E+15,266883,0.331332802,526372,6024,90253941
3/26/2018,3.33344E+15,318207,0.339713214,626615,6004,107117749
3/27/2018,3.27459E+15,292427,0.278276033,584055,5923,102051433
