1/26/2018,2.60308E+12,807029,10.29965311,218851,155,1044744.774
1/27/2018,2.60308E+12,860840,9.876608758,192395,157,1032040.287
1/28/2018,2.60308E+12,765711,8.368871087,213698,158,1025466.386
1/29/2018,2.60308E+12,775230,6.990983089,230013,148,1012349.946
1/30/2018,2.60308E+12,845185,6.76340099,239554,167,996176.4132
1/31/2018,2.60308E+12,685452,8.02627515,208360,117,1051847.444
2/1/2018,2.60308E+12,833934,7.641869907,252498,160,1053140.25
2/2/2018,2.60308E+12,853582,10.09307889,237739,168,1022506.262
2/3/2018,2.60308E+12,714800,6.816681276,190833,158,995890.9051
2/4/2018,2.60308E+12,711645,5.331639806,172621,178,988244.4382
2/5/2018,2.60308E+12,915758,5.481761986,221421,185,1106469.968
2/6/2018,2.61586E+12,999753,5.148790307,245035,170,1067332.106
2/7/2018,2.87467E+12,804119,4.421333439,207672,141,1070469.099
2/8/2018,2.87467E+12,753618,4.159082111,177469,131,1049296.389
2/9/2018,2.87467E+12,781921,4.444279084,178845,135,1076082.393
2/10/2018,2.87467E+12,737187,4.014475895,176305,143,1033400.832
2/11/2018,2.87467E+12,814528,3.411568076,147871,151,1002463.662
2/12/2018,2.87467E+12,912131,3.329547346,185649,166,1042309.904
2/13/2018,2.87467E+12,868109,3.200113105,188299,164,1037702.189
2/14/2018,2.87467E+12,937769,3.037029293,197735,179,1015978.872
2/15/2018,2.87467E+12,779005,3.27600624,195903,131,1062489.985
2/16/2018,2.87467E+12,773561,3.179612874,185173,157,989432.7643
2/17/2018,2.87467E+12,765638,3.083860854,172015,149,966532.4631
2/18/2018,2.87467E+12,730130,2.924313216,160325,162,973775.6728
2/19/2018,2.87467E+12,857787,3.024953229,191633,162,1011015.407
2/20/2018,2.97256E+12,703065,2.941094043,194005,141,1008593.801
2/21/2018,3.00738E+12,713740,2.052804817,208330,169,988705.4615
2/22/2018,3.00738E+12,719848,1.999617594,182712,149,918127.2617
2/23/2018,3.00738E+12,732287,4.390287296,180733,148,1005774.034
